source,rating,review_date
Google Play,2,2023-07-08
Google Play,3,2023-07-19
Google Play,3,2023-07-06
Google Play,3,2023-07-10
Google Play,3,2023-07-06
Google Play,2,2023-07-18
Google Play,1,2023-07-19
Google Play,2,2023-07-06
Google Play,3,2023-07-09
Google Play,5,2023-07-06
Google Play,2,2023-07-09
Google Play,3,2023-07-07
Google Play,1,2023-07-14
Google Play,2,2023-07-06
Google Play,2,2023-07-08
Google Play,3,2023-07-06
Google Play,2,2023-07-14
Google Play,3,2023-07-06
Google Play,3,2023-07-06
Google Play,3,2023-07-14
Google Play,2,2023-07-07
Google Play,5,2023-07-06
Google Play,4,2023-07-07
Google Play,3,2023-07-07
Google Play,1,2023-07-09
Google Play,3,2023-07-06
Google Play,3,2023-07-06
Google Play,2,2023-07-07
Google Play,1,2023-07-06
Google Play,4,2023-07-11
Google Play,2,2023-07-15
Google Play,2,2023-07-07
Google Play,4,2023-07-07
Google Play,1,2023-07-11
Google Play,3,2023-07-09
Google Play,1,2023-07-09
Google Play,1,2023-07-20
Google Play,3,2023-07-06
Google Play,2,2023-07-22
Google Play,2,2023-07-09
Google Play,3,2023-07-07
Google Play,4,2023-07-06
Google Play,3,2023-07-13
Google Play,3,2023-07-06
Google Play,2,2023-07-08
Google Play,1,2023-07-07
Google Play,1,2023-07-09
Google Play,3,2023-07-07
Google Play,1,2023-07-11
Google Play,3,2023-07-07
Google Play,3,2023-07-08
Google Play,1,2023-07-08
Google Play,5,2023-07-06
Google Play,1,2023-07-12
Google Play,2,2023-07-12
Google Play,1,2023-07-21
Google Play,2,2023-07-13
Google Play,1,2023-07-08
Google Play,1,2023-07-10
Google Play,1,2023-07-15
Google Play,3,2023-07-07
Google Play,1,2023-07-08
Google Play,1,2023-07-10
Google Play,2,2023-07-07
Google Play,3,2023-07-09
Google Play,3,2023-07-06
Google Play,4,2023-07-09
Google Play,4,2023-07-16
Google Play,4,2023-07-06
Google Play,2,2023-07-12
Google Play,2,2023-07-06
Google Play,2,2023-07-06
Google Play,3,2023-07-21
Google Play,1,2023-07-06
Google Play,2,2023-07-06
Google Play,1,2023-07-06
Google Play,3,2023-07-08
Google Play,3,2023-07-18
Google Play,2,2023-07-07
Google Play,2,2023-07-23
Google Play,3,2023-07-09
Google Play,1,2023-07-07
Google Play,3,2023-07-06
Google Play,2,2023-07-07
Google Play,3,2023-07-17
Google Play,2,2023-07-13
Google Play,1,2023-07-23
Google Play,3,2023-07-12
Google Play,2,2023-07-07
Google Play,1,2023-07-11
Google Play,4,2023-07-08
Google Play,4,2023-07-08
Google Play,1,2023-07-07
Google Play,1,2023-07-08
Google Play,5,2023-07-06
Google Play,4,2023-07-12
Google Play,4,2023-07-07
Google Play,1,2023-07-11
Google Play,3,2023-07-09
Google Play,3,2023-07-12
Google Play,3,2023-07-08
Google Play,1,2023-07-10
Google Play,1,2023-07-09
Google Play,1,2023-07-24
Google Play,3,2023-07-08
Google Play,3,2023-07-06
Google Play,3,2023-07-15
Google Play,4,2023-07-12
Google Play,4,2023-07-07
Google Play,2,2023-07-07
Google Play,4,2023-07-08
Google Play,2,2023-07-08
Google Play,3,2023-07-10
Google Play,3,2023-07-07
Google Play,2,2023-07-07
Google Play,3,2023-07-07
Google Play,3,2023-07-19
Google Play,2,2023-07-08
Google Play,1,2023-07-16
Google Play,4,2023-07-07
Google Play,1,2023-07-06
Google Play,4,2023-07-06
Google Play,2,2023-07-07
Google Play,4,2023-07-14
Google Play,4,2023-07-09
Google Play,4,2023-07-19
Google Play,1,2023-07-06
Google Play,3,2023-07-10
Google Play,3,2023-07-12
Google Play,1,2023-07-23
Google Play,2,2023-07-21
Google Play,3,2023-07-08
Google Play,2,2023-07-06
Google Play,1,2023-07-10
Google Play,2,2023-07-07
Google Play,3,2023-07-06
Google Play,4,2023-07-13
Google Play,5,2023-07-06
Google Play,3,2023-07-07
Google Play,2,2023-07-08
Google Play,4,2023-07-08
Google Play,2,2023-07-12
Google Play,3,2023-07-20
Google Play,2,2023-07-07
Google Play,2,2023-07-24
Google Play,4,2023-07-06
Google Play,4,2023-07-07
Google Play,2,2023-07-21
Google Play,1,2023-07-08
Google Play,3,2023-07-23
Google Play,5,2023-07-06
Google Play,3,2023-07-07
Google Play,5,2023-07-08
Google Play,4,2023-07-06
Google Play,4,2023-07-06
Google Play,2,2023-07-10
Google Play,4,2023-07-11
Google Play,1,2023-07-06
Google Play,4,2023-07-08
Google Play,4,2023-07-07
Google Play,4,2023-07-06
Google Play,3,2023-07-07
Google Play,1,2023-07-09
Google Play,1,2023-07-09
Google Play,2,2023-07-07
Google Play,4,2023-07-06
Google Play,4,2023-07-06
Google Play,4,2023-07-06
Google Play,3,2023-07-08
Google Play,4,2023-07-08
Google Play,1,2023-07-06
Google Play,3,2023-07-06
Google Play,3,2023-07-10
Google Play,2,2023-07-15
Google Play,3,2023-07-08
Google Play,1,2023-07-06
Google Play,1,2023-07-07
Google Play,4,2023-07-10
Google Play,3,2023-07-07
Google Play,1,2023-07-09
Google Play,3,2023-07-08
Google Play,1,2023-07-08
Google Play,2,2023-07-08
Google Play,1,2023-07-07
Google Play,5,2023-07-13
Google Play,1,2023-07-15
Google Play,3,2023-07-06
Google Play,1,2023-07-19
Google Play,3,2023-07-07
Google Play,1,2023-07-09
Google Play,2,2023-07-07
Google Play,1,2023-07-09
Google Play,2,2023-07-08
Google Play,3,2023-07-11
Google Play,3,2023-07-07
Google Play,3,2023-07-15
Google Play,1,2023-07-21
Google Play,1,2023-07-06
Google Play,5,2023-07-22
Google Play,3,2023-07-07
Google Play,4,2023-07-11
Google Play,1,2023-07-14
Google Play,2,2023-07-09
Google Play,2,2023-07-06
Google Play,3,2023-07-11
Google Play,4,2023-07-12
Google Play,3,2023-07-06
Google Play,2,2023-07-12
Google Play,3,2023-07-07
Google Play,5,2023-07-12
Google Play,3,2023-07-07
Google Play,2,2023-07-12
Google Play,2,2023-07-07
Google Play,3,2023-07-08
Google Play,3,2023-07-08
Google Play,3,2023-07-06
Google Play,3,2023-07-07
Google Play,2,2023-07-08
Google Play,3,2023-07-09
Google Play,3,2023-07-10
Google Play,1,2023-07-07
Google Play,3,2023-07-07
Google Play,3,2023-07-08
Google Play,3,2023-07-07
Google Play,4,2023-07-08
Google Play,2,2023-07-15
Google Play,2,2023-07-07
Google Play,2,2023-07-19
Google Play,1,2023-07-06
Google Play,3,2023-07-13
Google Play,1,2023-07-08
Google Play,2,2023-07-06
Google Play,3,2023-07-08
Google Play,3,2023-07-12
Google Play,5,2023-07-24
Google Play,3,2023-07-07
Google Play,2,2023-07-14
Google Play,5,2023-07-07
Google Play,4,2023-07-07
Google Play,4,2023-07-23
Google Play,1,2023-07-10
Google Play,3,2023-07-07
Google Play,3,2023-07-06
Google Play,1,2023-07-10
Google Play,1,2023-07-22
Google Play,3,2023-07-10
Google Play,1,2023-07-07
Google Play,4,2023-07-07
Google Play,3,2023-07-15
Google Play,3,2023-07-07
Google Play,3,2023-07-07
Google Play,1,2023-07-23
Google Play,3,2023-07-06
Google Play,2,2023-07-07
Google Play,2,2023-07-07
Google Play,1,2023-07-23
Google Play,1,2023-07-16
Google Play,3,2023-07-10
Google Play,1,2023-07-19
Google Play,1,2023-07-06
Google Play,2,2023-07-10
Google Play,3,2023-07-12
Google Play,1,2023-07-16
Google Play,1,2023-07-06
Google Play,3,2023-07-07
Google Play,1,2023-07-07
Google Play,4,2023-07-21
Google Play,1,2023-07-11
Google Play,1,2023-07-08
Google Play,2,2023-07-07
Google Play,1,2023-07-19
Google Play,4,2023-07-07
Google Play,1,2023-07-06
Google Play,5,2023-07-21
Google Play,4,2023-07-07
Google Play,3,2023-07-09
Google Play,3,2023-07-08
Google Play,3,2023-07-07
Google Play,3,2023-07-09
Google Play,4,2023-07-09
Google Play,3,2023-07-22
Google Play,4,2023-07-13
Google Play,1,2023-07-06
Google Play,1,2023-07-15
Google Play,4,2023-07-07
Google Play,3,2023-07-13
Google Play,3,2023-07-13
Google Play,3,2023-07-11
Google Play,3,2023-07-18
Google Play,3,2023-07-13
Google Play,3,2023-07-07
Google Play,3,2023-07-07
Google Play,1,2023-07-06
Google Play,4,2023-07-06
Google Play,2,2023-07-07
Google Play,1,2023-07-13
Google Play,1,2023-07-10
Google Play,1,2023-07-07
Google Play,1,2023-07-12
Google Play,1,2023-07-16
Google Play,3,2023-07-06
Google Play,2,2023-07-07
Google Play,3,2023-07-12
Google Play,1,2023-07-12
Google Play,3,2023-07-06
Google Play,4,2023-07-06
Google Play,1,2023-07-08
Google Play,3,2023-07-20
Google Play,2,2023-07-09
Google Play,1,2023-07-19
Google Play,4,2023-07-10
Google Play,3,2023-07-06
Google Play,1,2023-07-07
Google Play,1,2023-07-10
Google Play,4,2023-07-08
Google Play,4,2023-07-09
Google Play,1,2023-07-07
Google Play,4,2023-07-08
Google Play,1,2023-07-08
Google Play,4,2023-07-10
Google Play,2,2023-07-07
